name,price,url
100% Dark Hot Chocolate Flakes,9.95,https://www.chocolate.co.uk/products/100-dark-hot-chocolate-flakes
2.5kg Bulk 41% Milk Hot Chocolate Drops,45.00,https://www.chocolate.co.uk/products/2-5kg-bulk-of-our-41-milk-hot-chocolate-drops
2.5kg Bulk 61% Dark Hot Chocolate Drops,45.00,https://www.chocolate.co.uk/products/2-5kg-of-our-best-selling-61-dark-hot-chocolate-drops
41% Milk Hot Chocolate Drops,8.75,https://www.chocolate.co.uk/products/41-colombian-milk-hot-chocolate-drops
61% Dark Hot Chocolate Drops,8.75,https://www.chocolate.co.uk/products/62-dark-hot-chocolate
70% Dark Hot Chocolate Flakes,9.95,https://www.chocolate.co.uk/products/70-dark-hot-chocolate-flakes
Almost Perfect,"
Sale priceFrom £1.50
",https://www.chocolate.co.uk/products/almost-perfect
Assorted Chocolate Malt Balls,9.00,https://www.chocolate.co.uk/products/assorted-chocolate-malt-balls
Blonde Caramel,5.00,https://www.chocolate.co.uk/products/blonde-caramel-chocolate-bar
Blonde Chocolate Honeycomb,9.00,https://www.chocolate.co.uk/products/blonde-chocolate-honeycomb
Blonde Chocolate Honeycomb - Bag,8.50,https://www.chocolate.co.uk/products/blonde-chocolate-sea-salt-honeycomb
Blonde Chocolate Malt Balls,9.00,https://www.chocolate.co.uk/products/blonde-chocolate-malt-balls
Blonde Chocolate Truffles,19.95,https://www.chocolate.co.uk/products/blonde-chocolate-truffles
Blonde Hot Chocolate Flakes,9.95,https://www.chocolate.co.uk/products/blonde-hot-chocolate-flakes
Bulk 41% Milk Hot Chocolate Drops 750 grams,17.50,https://www.chocolate.co.uk/products/bulk-41-milk-hot-chocolate-drops-750-grams
Bulk 61% Dark Hot Chocolate Drops 750 grams,17.50,https://www.chocolate.co.uk/products/750-gram-bulk-61-dark-hot-chocolate-drops
Caramelised Milk,5.00,https://www.chocolate.co.uk/products/caramelised-milk-chocolate-bar
Chocolate Caramelised Pecan Nuts,8.95,https://www.chocolate.co.uk/products/chocolate-caramelised-pecan-nuts
Chocolate Celebration Hamper,55.00,https://www.chocolate.co.uk/products/celebration-hamper
Christmas Cracker,5.00,https://www.chocolate.co.uk/products/christmas-cracker-chocolate-bar
Christmas Truffle Selection,19.95,https://www.chocolate.co.uk/products/pre-order-christmas-truffle-selection
Cinnamon Toast,5.00,https://www.chocolate.co.uk/products/cinnamon-toast-chocolate-bar
Collection of 4 of our Best Selling Chocolate Malt Balls,30.00,https://www.chocolate.co.uk/products/collection-of-our-best-selling-chocolate-malt-balls
Colombia 61%,5.00,https://www.chocolate.co.uk/products/colombian-dark-chocolate-bar
Colombian 41%,5.00,https://www.chocolate.co.uk/products/ecuadorian-41-milk-chocolate-bar
Crunchy Biscuit,5.00,https://www.chocolate.co.uk/products/crunchy-biscuit-blonde-chocolate-bar
Dark Chocolate Ginger,8.95,https://www.chocolate.co.uk/products/dark-chocolate-ginger
Dark Chocolate Honeycomb,9.00,https://www.chocolate.co.uk/products/dark-chocolate-honeycomb-1
Dark Chocolate Honeycomb - Bag,8.50,https://www.chocolate.co.uk/products/dark-chocolate-honeycomb
Dark Chocolate Malt Balls,9.00,https://www.chocolate.co.uk/products/dark-chocolate-malt-balls
Dark Chocolate Orange Peel,8.95,https://www.chocolate.co.uk/products/dark-chocolate-orange-peel
Dark Chocolate Truffles,19.95,https://www.chocolate.co.uk/products/dark-chocolate-truffles
December Box of the Month,"
Sale priceFrom £30.00
",https://www.chocolate.co.uk/products/box-of-the-month-subscription-1
Flat White Coffee,5.00,https://www.chocolate.co.uk/products/flat-white-coffee
Gift Voucher,"
Sale priceFrom £10.00
",https://www.chocolate.co.uk/products/gift-voucher
Ginger Biscuit,5.00,https://www.chocolate.co.uk/products/ginger-biscuit-chocolate-bar
Honeycomb Crunch,5.00,https://www.chocolate.co.uk/products/honeycomb-crunch
Hot Chocolate Shaker,"
Sale priceFrom £25.00
",https://www.chocolate.co.uk/products/hot-chocolate-shaker-new
Luxury Chocolate Hamper,85.00,https://www.chocolate.co.uk/products/luxury-chocolate-hamper
Luxury Chocolate Hamper with bottle of Champagne,100.00,https://www.chocolate.co.uk/products/copy-of-luxury-chocolate-hamper
Luxury Hot Chocolate Hamper,50.00,https://www.chocolate.co.uk/products/luxury-hot-chocolate-hamper
Marc De Champagne Truffles,19.95,https://www.chocolate.co.uk/products/marc-de-champagne-truffles
Marmalade,5.00,https://www.chocolate.co.uk/products/marmalade-orange-chocolate-bar
Milk Chocolate Honeycomb,9.00,https://www.chocolate.co.uk/products/milk-chocolate-honeycomb-2
Milk Chocolate Honeycomb - Bag,8.50,https://www.chocolate.co.uk/products/milk-chocolate-honeycomb
Milk Chocolate Malt Balls,9.00,https://www.chocolate.co.uk/products/milk-chocolate-malt-balls
Milk Chocolate Truffles,19.95,https://www.chocolate.co.uk/products/milk-chocolate-truffles
Mint Creams,19.95,https://www.chocolate.co.uk/products/mint-creams
Oat M!lk Hot Chocolate Flakes,9.95,https://www.chocolate.co.uk/products/oat-m-lk-hot-chocolate-flakes
Orange Dark Hot Chocolate Flakes,9.95,https://www.chocolate.co.uk/products/orange-dark-hot-chocolate-flakes
Orange Malt Balls,9.00,https://www.chocolate.co.uk/products/orange-malt-balls
Peppermint Malt Balls,9.00,https://www.chocolate.co.uk/products/peppermint-malt-balls
Peppermint Swirl,5.00,https://www.chocolate.co.uk/products/peppermint-swirl-chocolate-bar
Pistachio & Cranberry,5.00,https://www.chocolate.co.uk/products/pistachio-cranberry-chocolate-bar
Pretzel Caramel,5.00,https://www.chocolate.co.uk/products/pretzel-caramel-chocolate-bar
Roasted Almonds,8.95,https://www.chocolate.co.uk/products/cocoa-dusted-almonds
Rose & Violet Creams,19.95,https://www.chocolate.co.uk/products/rose-violet-creams
Salt Caramel Malt Balls,9.00,https://www.chocolate.co.uk/products/salt-caramel-malt-balls
Salt Caramelised Hazelnuts,8.95,https://www.chocolate.co.uk/products/salt-caramelised-hazelnuts
Salted Caramel,5.00,https://www.chocolate.co.uk/products/blonde-chocolate-sea-salt
Salted Caramel Florentines,11.50,https://www.chocolate.co.uk/products/salted-caramel-florentines
Salted Caramels Blonde Chocolate,19.95,https://www.chocolate.co.uk/products/salted-caramels-blonde-chocolate
Salted Caramels Dark Chocolate,19.95,https://www.chocolate.co.uk/products/salt-caramels-dark-chocolate
Salted Caramels Milk Chocolate,19.95,https://www.chocolate.co.uk/products/salt-caramels-milk-chocolate
Signature Collection x 16,22.50,https://www.chocolate.co.uk/products/luxury-chocolate-collection-med
Signature Collection x 25,32.50,https://www.chocolate.co.uk/products/luxury-chocolate-collection-lrg
Valrhona Araguani - 72%,77.50,https://www.chocolate.co.uk/products/valrhona-araguani-72
Valrhona Bahibe 46%,75.00,https://www.chocolate.co.uk/products/valrhona-bahibe
Valrhona Biskelia 34%,75.00,https://www.chocolate.co.uk/products/valrhona-biskelia-34
Valrhona Caraibe 66%,"
Sale priceFrom £27.50
",https://www.chocolate.co.uk/products/valrhona-caraibe-66
Valrhona Caramelia 36%,75.00,https://www.chocolate.co.uk/products/valrhona-caramelia-36
Valrhona Dulcey 32%,"
Sale priceFrom £29.50
",https://www.chocolate.co.uk/products/valrhona-dulcey-32
Valrhona Guanaja 70%,"
Sale priceFrom £29.50
",https://www.chocolate.co.uk/products/valrhona-guanaja-70
Valrhona Jivara 40%,"
Sale priceFrom £29.50
",https://www.chocolate.co.uk/products/valrhona-jivara-40
Valrhona Manjari 64%,75.00,https://www.chocolate.co.uk/products/valrhona-manjari-64
Valrhona Opalys 33%,75.00,https://www.chocolate.co.uk/products/valrhona-opalys-33
Velvet White,5.00,https://www.chocolate.co.uk/products/velvet-white-chocolate-bar
